product_id,product_name,description,price,category_id,stock_quantity,created_date
1,Smartphone,High-quality smartphone perfect for your needs. Features excellent design and durability.,34.75,1,140,2025-04-19
2,Pro Smartphone 2,High-quality pro smartphone 2 perfect for your needs. Features excellent design and durability.,739.1,1,346,2024-03-05
3,Smartphone 3,High-quality smartphone 3 perfect for your needs. Features excellent design and durability.,549.9,1,302,2023-12-29
4,Laptop,High-quality laptop perfect for your needs. Features excellent design and durability.,39.49,1,111,2025-07-07
5,Modern Laptop 2,High-quality modern laptop 2 perfect for your needs. Features excellent design and durability.,36.26,1,101,2024-07-10
6,Laptop 3,High-quality laptop 3 perfect for your needs. Features excellent design and durability.,704.3,1,214,2024-06-17
7,Modern Tablet,High-quality modern tablet perfect for your needs. Features excellent design and durability.,285.4,1,445,2024-05-31
8,Pro Tablet 2,High-quality pro tablet 2 perfect for your needs. Features excellent design and durability.,701.15,1,174,2024-03-27
9,Pro Tablet 3,High-quality pro tablet 3 perfect for your needs. Features excellent design and durability.,957.63,1,172,2025-07-04
10,Classic Headphones,High-quality classic headphones perfect for your needs. Features excellent design and durability.,105.74,1,433,2024-02-27
11,Headphones 2,High-quality headphones 2 perfect for your needs. Features excellent design and durability.,271.87,1,22,2025-05-18
12,Headphones 3,High-quality headphones 3 perfect for your needs. Features excellent design and durability.,540.86,1,498,2025-07-07
13,Smartwatch,High-quality smartwatch perfect for your needs. Features excellent design and durability.,88.0,1,150,2025-11-01
14,Smartwatch 2,High-quality smartwatch 2 perfect for your needs. Features excellent design and durability.,622.32,1,441,2025-02-05
15,Smartwatch 3,High-quality smartwatch 3 perfect for your needs. Features excellent design and durability.,200.36,1,35,2024-02-15
16,Pro Camera,High-quality pro camera perfect for your needs. Features excellent design and durability.,775.33,1,40,2025-03-12
17,Camera 2,High-quality camera 2 perfect for your needs. Features excellent design and durability.,867.81,1,194,2024-11-01
18,Elite Camera 3,High-quality elite camera 3 perfect for your needs. Features excellent design and durability.,171.02,1,181,2024-01-03
19,Elite Speaker,High-quality elite speaker perfect for your needs. Features excellent design and durability.,704.79,1,349,2024-01-02
20,Speaker 2,High-quality speaker 2 perfect for your needs. Features excellent design and durability.,613.03,1,87,2024-02-20
21,Speaker 3,High-quality speaker 3 perfect for your needs. Features excellent design and durability.,252.35,1,236,2024-05-27
22,Monitor,High-quality monitor perfect for your needs. Features excellent design and durability.,989.62,1,327,2024-06-07
23,Monitor 2,High-quality monitor 2 perfect for your needs. Features excellent design and durability.,227.41,1,166,2025-01-05
24,Monitor 3,High-quality monitor 3 perfect for your needs. Features excellent design and durability.,778.23,1,117,2025-03-21
25,T-Shirt,High-quality t-shirt perfect for your needs. Features excellent design and durability.,806.99,2,205,2023-12-30
26,Pro T-Shirt 2,High-quality pro t-shirt 2 perfect for your needs. Features excellent design and durability.,913.99,2,290,2025-02-17
27,T-Shirt 3,High-quality t-shirt 3 perfect for your needs. Features excellent design and durability.,321.52,2,335,2024-05-12
28,Jeans,High-quality jeans perfect for your needs. Features excellent design and durability.,885.83,2,329,2025-06-18
29,Jeans 2,High-quality jeans 2 perfect for your needs. Features excellent design and durability.,272.22,2,126,2025-04-27
